spindel,https://www.amazon.com/Spindle-Cooled-Collet-wrenches-Machine/dp/B0BDRPFRLD/ref=pd_lpo_d_sccl_1/135-9401565-6386627?pd_rd_w=pDcFB&content-id=amzn1.sym.4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_p=4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_r=B7VS29A4Q55RVN2J5GQ7&pd_rd_wg=I2hax&pd_rd_r=9e407b4a-04fe-4e69-8773-64afcc16de22&pd_rd_i=B0BDRPFRLD&th=1,$149
VFD,https://www.amazon.com/Single-Variable-Frequency-Control-HY/dp/B0CR326WH6/ref=pd_bxgy_thbs_d_sccl_1/135-9401565-6386627?pd_rd_w=61vfc&content-id=amzn1.sym.9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_p=9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_r=0GD1RTPFCQZEKCRE72WT&pd_rd_wg=dHKUn&pd_rd_r=0ee6e334-1775-4451-b993-31b2371bfb70&pd_rd_i=B0CR326WH6&th=1,$109
450mm Linear rails x2,https://www.aliexpress.us/item/3256812537091588.html?spm=a2g0o.productlist.main.1.4d4f8xVD8xVDP3&algo_pvid=3ce486e4-db5a-417b-bc03-e61e343ecdd8&algo_exp_id=3ce486e4-db5a-417b-bc03-e61e343ecdd8-10&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.94%214.56%21%21%21133.83%2130.64%21%402101dedf17859643532698178e23de%2112000059132519288%21sea%21US%216262066765%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5907af3%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=1dZrrB2lYv0A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012723406340%7C_p_origin_prod%3A,$60
400mm linear rail x2,https://www.aliexpress.us/item/3256812537091588.html?spm=a2g0o.productlist.main.1.4d4f8xVD8xVDP3&algo_pvid=3ce486e4-db5a-417b-bc03-e61e343ecdd8&algo_exp_id=3ce486e4-db5a-417b-bc03-e61e343ecdd8-10&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.94%214.56%21%21%21133.83%2130.64%21%402101dedf17859643532698178e23de%2112000059132519288%21sea%21US%216262066765%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5907af3%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=1dZrrB2lYv0A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012723406340%7C_p_origin_prod%3A,$46
150mm linear rail x2,https://www.aliexpress.us/item/3256803510505969.html?spm=a2g0o.productlist.main.1.6fe26210EL9Zlh&algo_pvid=6c3cc20f-d4d3-4d7c-aa2c-a6a098f1a539&algo_exp_id=6c3cc20f-d4d3-4d7c-aa2c-a6a098f1a539-0&pdp_ext_f=%7B%22order%22%3A%222221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.69%210.99%21%21%2112.69%210.99%21%402101e5ab17860836816113734e0d68%2112000026841821318%21sea%21US%216262066765%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5907af3%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=tJfSewGbALMS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003696820721%7C_p_origin_prod%3A,$40.00
450mm Ball screw,https://www.aliexpress.us/item/3256802861426275.html?src=google&src=google&albch=shopping&acnt=179-224-6891&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256802861426275&ds_e_product_merchant_id=428516124&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23114515373&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23118775333&gbraid=0AAAABBR8xIe-GHiurjw1IafPPE49bKLGG&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-nYQmbDe5G9iss-YlDbq87i8s_JGjQONKlpU7qd78EUb1M9RNdaoyRoCeckQAvD_BwE&gatewayAdapt=glo2usa,31.95
400 mm Ball screw x2,https://www.aliexpress.us/item/3256810590586847.html?spm=a2g0o.productlist.main.16.3d1834d6wZrwI9&aem_p4p_detail=202608072048543119386746919500000056786&algo_pvid=28978220-ece5-4ef8-877f-2a29ece9edb7&algo_exp_id=28978220-ece5-4ef8-877f-2a29ece9edb7-15&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.68%2116.25%21%21%21111.93%21109.02%21%402101ca9517861609341318864e1ed8%2112000053475200519%21sea%21US%216262066765%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5907af3%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=qSll1OPcdLeB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010776901599%7C_p_origin_prod%3A&search_p4p_id=202608072048543119386746919500000056786_4,$59.78
linear rail carridge x4,https://www.aliexpress.us/item/3256808460953497.html?spm=a2g0o.productlist.main.1.1aaf8Ou98Ou94z&algo_pvid=c7882c00-546f-42d5-ac71-bc56b120dbc3&algo_exp_id=c7882c00-546f-42d5-ac71-bc56b120dbc3-0&pdp_ext_f=%7B%22order%22%3A%221207%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.72%214.17%21%21%217.72%214.17%21%40210328c017871960079603840e0f3c%2112000046082978695%21sea%21US%218053061758%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5907af3%3Bm03_new_user%3A-29895&curPageLogUid=vDhh9YrLqqIr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008647268249%7C_p_origin_prod%3A,$40
,,
2x550mm aluminum extrusion,https://www.aliexpress.us/item/3256802861426275.html?src=google&src=google&albch=shopping&acnt=179-224-6891&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256802861426275&ds_e_product_merchant_id=428516124&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23114515373&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23118775333&gbraid=0AAAABBR8xIe-GHiurjw1IafPPE49bKLGG&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-nYQmbDe5G9iss-YlDbq87i8s_JGjQONKlpU7qd78EUb1M9RNdaoyRoCeckQAvD_BwE&gatewayAdapt=glo2usa,$23.72
